"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"polynom","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.4-1",NA,NA,NA,NA
"pracma","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","2.4.2",NA,NA,NA,NA
"praise","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.0.0",NA,NA,NA,NA
"prettymapr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.2.4",NA,NA,NA,NA
"prettyunits","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.1.1",NA,NA,NA,NA
"pROC","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.18.0",NA,NA,NA,NA
"processx","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","3.8.0",NA,NA,NA,NA
"progress","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.2.2",NA,NA,NA,NA
"promises","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.2.0.1",NA,NA,NA,NA
"proxy","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.4-27",NA,NA,NA,NA
"pryr","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","0.1.6",NA,NA,NA,NA
"ps","/home/achubaty/.local/share/R/Ontario_AOU_ROF/packages/x86_64-pc-linux-gnu/4.2","1.7.2",NA,NA,NA,NA
